City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
549,Vila Velha,BR,69.75,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
551,Bucerias,MX,77.99,overcast clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
556,Manoel Urbano,BR,70.45,clear sky,-8.8389,-69.2597,Baixada Beira Rio
559,Nkayi,CG,71.65,clear sky,-4.1841,13.2884,Résidence privée du Maire NKAYI
562,Lafia,NG,78.33,overcast clouds,8.4833,8.5167,Low Cost Housing Estate
565,Kamaishi,JP,79.75,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
566,Luanda,AO,73.4,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
574,Elizabeth City,US,71.65,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
580,Mormugao,IN,78.06,drizzle,15.4,73.8,Coconut Creek Resort
581,Starkville,US,73.58,clear sky,33.4504,-88.8184,Hilton Garden Inn Starkville
582,Dashitou,CN,77.76,overcast clouds,43.3067,128.5114,大林宾馆
583,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
587,Prainha,BR,74.75,scattered clouds,-1.8,-53.48,Casa Rocha
591,Ixtapa,MX,77.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
599,Reidsville,US,75.36,clear sky,36.3549,-79.6645,"Holiday Inn Express & Suites Reidsville, an IHG Hotel"
601,Hambantota,LK,79.14,broken clouds,6.1241,81.1185,Bungalow 63
602,Winneba,GH,78.66,light rain,5.3511,-0.6231,Windy Lodge & Beach Resort
603,Majene,ID,78.85,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
611,Grajau,BR,75.29,overcast clouds,-5.8194,-46.1386,Hotel Confiança
619,Mandiana,GN,73.62,light rain,10.6333,-8.6833,Centre d'accueil de Mandiana
622,Wyndham,US,75.06,light rain,37.6985,-77.6125,Hilton Richmond Hotel & Spa/Short Pump
624,Pontianak,ID,78.78,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
626,Mount Isa,AU,76.77,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
629,Charters Towers,AU,77.27,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
634,Katsuura,JP,74.1,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
642,Neepawa,CA,75.6,clear sky,50.2289,-99.4664,"Westway Inn Motel, Neepawa"
643,Ankang,CN,78.21,light rain,32.68,109.0172,安琪酒店
644,Yatou,CN,75.06,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
650,Esterhazy,CA,76.05,clear sky,50.65,-102.0843,Canalta Hotel Esterhazy
654,Bageshwar,IN,73.65,clear sky,29.85,79.7667,Danu Janral Store
659,Mayumba,GA,75.97,overcast clouds,-3.432,10.6554,LIKWALE LODGE
660,Inirida,CO,72.91,clear sky,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
666,Bahia Honda,CU,76.91,overcast clouds,22.9036,-83.1592,Casa Gualberto - Deysi
667,Mawlaik,MM,79.2,overcast clouds,23.6333,94.4167,AKZ Guest House
672,Hami,CN,73.56,light rain,42.8,93.45,Laoyutang Resort
678,Tura,IN,79.95,light rain,25.5198,90.2201,Hotel RIKMAN Continental
681,Filadelfia,US,72.0,overcast clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
693,Progreso,MX,75.45,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
694,Sungaipenuh,ID,74.34,scattered clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
695,Jaru,BR,75.88,broken clouds,-10.4389,-62.4664,Hotel Paraná
703,Gushikawa,JP,78.8,moderate rain,26.3544,127.8686,Kirari Guest House
707,Shuangcheng,CN,76.68,light rain,45.35,126.2833,Xingcheng Hotel
709,Jinchang,CN,70.7,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
711,Takoradi,GH,78.93,light rain,4.8845,-1.7554,Raybow International Hotel
712,Qujing,CN,69.15,overcast clouds,25.4833,103.7833,Yulong Hotel
719,Gambela,ET,70.97,moderate rain,8.25,34.5833,Solomon Debebe Hotel
