City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
174,Tymovskoye,RU,2021-06-07 22:34:29,50.8456,142.655,283.61,70,95,1.07
175,Aykhal,RU,2021-06-07 22:34:29,66.0,111.5,279.57,41,39,1.25
176,Piacabucu,BR,2021-06-07 22:34:29,-10.4056,-36.4344,297.07,86,89,2.36
177,Chokurdakh,RU,2021-06-07 22:34:30,70.6333,147.9167,275.96,94,100,4.33
178,Pochutla,MX,2021-06-07 22:34:30,15.7432,-96.4661,303.61,64,100,1.73
179,Guerande,FR,2021-06-07 22:34:31,47.3291,-2.4283,289.98,82,12,2.72
180,Biscarrosse,FR,2021-06-07 22:34:31,44.3945,-1.1672,291.28,88,0,2.61
181,Kupang,ID,2021-06-07 22:34:32,-10.1667,123.5833,296.47,83,20,4.12
182,Brejinho,BR,2021-06-07 22:34:32,-6.1908,-35.3567,297.51,93,63,2.99
183,Alofi,NU,2021-06-07 22:34:32,-19.0595,-169.9187,301.09,78,85,6.17
184,Paamiut,GL,2021-06-07 22:34:33,61.994,-49.6678,278.29,84,72,6.26
185,Hwange,ZW,2021-06-07 22:34:33,-18.3693,26.5019,286.04,64,78,2.66
186,Richards Bay,ZA,2021-06-07 22:34:33,-28.783,32.0377,289.34,82,0,4.25
187,Makaryev,RU,2021-06-07 22:34:34,57.8797,43.8069,284.97,97,28,2.43
188,Keti Bandar,PK,2021-06-07 22:34:34,24.1447,67.4497,302.34,74,3,7.75
189,Thompson,CA,2021-06-07 22:30:11,55.7435,-97.8558,291.24,42,75,2.06
190,Grand Gaube,MU,2021-06-07 22:34:35,-20.0064,57.6608,295.37,87,47,4.02
191,Lumeje,AO,2021-06-07 22:34:35,-11.55,20.7833,288.19,56,2,2.69
192,Iralaya,HN,2021-06-07 22:34:36,15.0,-83.2333,300.57,81,91,5.64
193,Berwick,US,2021-06-07 22:34:36,41.0545,-76.2333,305.07,84,98,2.41
194,Qaanaaq,GL,2021-06-07 22:34:36,77.484,-69.3632,277.43,81,4,1.71
195,Duncan,US,2021-06-07 22:34:37,34.5023,-97.9578,302.62,57,1,2.57
196,Belmonte,BR,2021-06-07 22:34:37,-15.8631,-38.8828,298.43,87,100,1.92
