City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Guerrero,MX,17.6667,-100.0,67.24,92,85,4.16,overcast clouds
239,Merauke,ID,-8.4667,140.3333,83.88,72,70,9.69,broken clouds
240,Fairbanks,US,64.8378,-147.7164,70.92,54,97,1.03,overcast clouds
241,Carballo,ES,43.213,-8.691,67.42,92,98,0.69,overcast clouds
242,Staryy Nadym,RU,65.6118,72.6842,69.13,55,100,15.12,overcast clouds
243,Espanola,US,35.9911,-106.0806,95.23,16,40,4.81,scattered clouds
244,Methoni,GR,36.8197,21.7049,69.22,87,7,11.79,clear sky
245,Upernavik,GL,72.7868,-56.1549,35.2,80,100,4.45,overcast clouds
246,Genhe,CN,50.7833,121.5167,75.79,52,100,6.35,overcast clouds
247,Aripuana,BR,-9.1667,-60.6333,78.58,59,74,0.78,broken clouds
248,Caravelas,BR,-17.7125,-39.2481,70.54,80,37,8.32,scattered clouds
249,Bandarbeyla,SO,9.4942,50.8122,79.36,69,100,24.45,overcast clouds
250,Tanete,ID,-3.9443,119.7848,79.38,83,98,1.97,overcast clouds
251,Dikson,RU,73.5069,80.5464,32.09,99,100,10.18,overcast clouds
252,Kavieng,PG,-2.5744,150.7967,85.23,65,11,11.99,few clouds
253,Rawson,AR,-43.3002,-65.1023,48.15,49,81,15.99,broken clouds
254,Beyneu,KZ,45.3167,55.2,82.06,28,100,21.3,overcast clouds
255,Manicore,BR,-5.8092,-61.3003,76.95,67,74,3.22,broken clouds
256,Da Lat,VN,11.9465,108.4419,70.92,60,93,5.23,overcast clouds
257,Hammerfest,NO,70.6634,23.6821,41.45,81,75,17.27,broken clouds
258,Nanortalik,GL,60.1432,-45.2371,35.24,89,36,3.13,scattered clouds
259,Umm Lajj,SA,25.0213,37.2685,85.06,58,0,9.71,clear sky
260,Hirara,JP,24.8,125.2833,86.27,89,75,11.5,broken clouds
261,Forrest City,US,35.0081,-90.7898,89.46,70,54,7.25,broken clouds
262,Pochutla,MX,15.7432,-96.4661,81.45,90,99,2.91,overcast clouds
263,Salaspils,LV,56.8601,24.3654,53.47,89,21,5.93,few clouds
264,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.61,74,97,9.28,overcast clouds
265,Kilindoni,TZ,-7.9139,39.6668,77.63,66,2,14.23,clear sky
266,Piacabucu,BR,-10.4056,-36.4344,74.88,85,100,6.82,overcast clouds
267,Westport,US,41.1415,-73.3579,68.9,78,40,1.01,scattered clouds
268,Mercedes,AR,-34.6515,-59.4307,60.85,87,4,7.34,clear sky
269,Amahai,ID,-3.3333,128.9167,80.64,82,100,3.94,light rain
270,Matias Romero,MX,16.8833,-95.0333,73.51,97,100,2.48,overcast clouds
271,Port Blair,IN,11.6667,92.75,83.14,80,100,20.13,overcast clouds
272,Athabasca,CA,54.7169,-113.2854,79.21,64,93,5.79,overcast clouds
273,Auki,SB,-8.7676,160.7034,83.64,73,100,4.41,overcast clouds
274,Bouafle,CI,6.9904,-5.7442,77.02,99,26,3.53,scattered clouds
275,Vostok,RU,46.4856,135.8833,70.03,35,0,6.98,clear sky
276,Ondangwa,NA,-17.9167,15.95,50.0,50,32,3.44,scattered clouds
277,Chicama,PE,-7.8447,-79.1469,64.94,81,11,5.7,few clouds
278,Port Hedland,AU,-20.3167,118.5667,77.05,27,3,16.11,clear sky
279,Talnakh,RU,69.4865,88.3972,40.98,85,99,10.98,overcast clouds
280,Florence,IT,43.7667,11.25,71.11,91,0,2.3,clear sky
281,Finschhafen,PG,-6.6024,147.8681,84.09,69,21,10.6,few clouds
282,Solnechnyy,RU,50.7214,136.6319,66.85,36,3,6.33,clear sky
283,Alcacer Do Sal,PT,38.3733,-8.5144,66.51,92,14,0.65,few clouds
284,Luderitz,NA,-26.6481,15.1594,63.01,62,0,5.21,clear sky
285,Viedma,AR,-40.8135,-62.9967,48.0,79,100,7.72,overcast clouds
286,Carnarvon,AU,-24.8667,113.6333,62.67,64,40,10.36,scattered clouds
287,Tabou,CI,4.423,-7.3528,78.44,85,72,5.37,light rain
288,Nador,MA,35.174,-2.9287,70.05,88,20,3.44,few clouds
289,Juegang,CN,32.3174,121.1855,79.95,79,93,10.36,moderate rain
290,Dombarovskiy,RU,50.7587,59.5386,65.89,40,100,15.77,overcast clouds
291,Yulara,AU,-25.2406,130.9889,60.64,63,2,9.22,clear sky
292,Dongying,CN,37.4564,118.4856,88.43,47,100,12.68,heavy intensity rain
293,Namatanai,PG,-3.6667,152.4333,85.28,63,9,4.94,clear sky
294,Mokhsogollokh,RU,61.4681,128.9203,69.44,32,77,1.48,broken clouds
295,Sinjar,IQ,36.3209,41.8754,76.28,19,0,5.35,clear sky
296,Yushu,CN,44.8,126.5333,75.25,63,100,13.73,overcast clouds
297,Jumla,NP,29.2747,82.1838,59.59,92,100,3.33,overcast clouds
298,Vao,NC,-22.6667,167.4833,73.67,81,94,3.65,overcast clouds
299,Ostrovnoy,RU,68.0531,39.5131,49.17,93,100,8.43,overcast clouds
300,Toledo,ES,39.8333,-4.0,78.08,57,57,3.0,broken clouds
301,Nhulunbuy,AU,-12.2333,136.7667,84.81,61,40,8.05,scattered clouds
302,Sept-Iles,CA,50.2001,-66.3821,51.06,65,20,1.01,few clouds
303,Soverato,IT,38.685,16.5499,69.75,82,7,11.39,clear sky
304,Hoi An,VN,15.8794,108.335,91.36,64,100,11.41,overcast clouds
305,Puerto Ayora,EC,-0.7393,-90.3518,72.93,74,91,9.44,overcast clouds
306,George Town,MY,5.4112,100.3354,84.88,82,20,3.44,few clouds
307,Navahrudak,BY,53.6,25.8333,49.32,78,97,12.01,overcast clouds
308,Alamosa,US,37.4695,-105.87,87.78,8,1,9.22,clear sky
309,Palu,ID,-0.8917,119.8707,86.56,63,100,1.5,overcast clouds
310,La Ronge,CA,55.1001,-105.2842,79.05,19,20,3.44,few clouds
311,Naryan-Mar,RU,67.6713,53.087,69.46,51,24,12.77,few clouds
312,Gombe,NG,10.2897,11.1673,78.69,64,95,5.12,overcast clouds
313,Ratangarh,IN,28.0833,74.6,92.55,44,1,14.34,clear sky
314,Zhanakorgan,KZ,43.9098,67.2495,72.86,19,0,21.18,clear sky
315,Arkadak,RU,51.9326,43.4978,59.85,92,21,5.39,few clouds
316,Conakry,GN,9.538,-13.6773,75.54,88,100,7.45,moderate rain
317,Hasaki,JP,35.7333,140.8333,79.29,76,100,9.91,overcast clouds
318,Andenes,NO,69.3143,16.1194,43.07,75,90,18.41,drizzle
319,Razole,IN,16.4833,81.8333,82.69,87,100,8.77,light rain
320,Houma,US,29.5958,-90.7195,82.4,79,77,7.0,broken clouds
321,Port-Gentil,GA,-0.7193,8.7815,77.14,88,69,16.42,broken clouds
322,Kondinskoye,RU,59.6481,67.41,68.34,56,30,10.33,scattered clouds
323,Kavaratti,IN,10.5669,72.642,83.5,76,100,23.24,overcast clouds
324,Taoudenni,ML,22.6783,-3.9836,100.06,10,0,12.28,clear sky
325,Abengourou,CI,6.7297,-3.4964,72.05,100,69,2.53,broken clouds
326,Gavle,SE,60.6745,17.1417,57.94,63,100,8.21,overcast clouds
327,Ginir,ET,7.1333,40.7,53.53,87,99,6.55,overcast clouds
328,Iqaluit,CA,63.7506,-68.5145,33.53,86,40,3.0,scattered clouds
329,Shache,CN,38.4167,77.2406,74.1,34,100,2.04,overcast clouds
330,Gulbarga,IN,17.3333,76.8333,76.42,78,100,13.94,light rain
331,Utete,TZ,-7.986,38.758,64.06,91,2,2.68,clear sky
332,Grand-Santi,GF,4.25,-54.3833,72.46,99,100,2.3,overcast clouds
333,Saint-Georges,GD,12.0564,-61.7485,82.08,78,40,11.5,scattered clouds
334,Lewiston,US,44.1003,-70.2148,68.65,73,48,4.12,scattered clouds
335,Souillac,MU,-20.5167,57.5167,73.78,73,40,14.97,scattered clouds
336,Richards Bay,ZA,-28.783,32.0377,65.71,43,0,6.51,clear sky
337,Kurumkan,RU,54.3,110.3,57.18,65,95,7.31,overcast clouds
338,Olafsvik,IS,64.8945,-23.7142,38.41,86,98,32.35,overcast clouds
339,Labuhan,ID,-6.8844,112.2051,83.35,71,100,7.54,overcast clouds
340,Shimoda,JP,34.6667,138.95,80.17,66,100,5.46,overcast clouds
341,Abonnema,NG,4.7084,6.7931,76.41,89,80,5.57,light rain
342,Mandalgovi,MN,45.7625,106.2708,66.33,34,94,5.21,overcast clouds
343,Surt,LY,31.2089,16.5887,70.52,75,0,5.12,clear sky
344,Ahuimanu,US,21.4447,-157.8378,83.91,58,40,11.5,scattered clouds
345,Sitka,US,57.0531,-135.33,62.49,59,75,12.66,broken clouds
346,Norman Wells,CA,65.282,-126.8329,57.24,58,75,14.97,broken clouds
347,Lahan,NP,26.7296,86.4951,81.55,78,100,10.67,overcast clouds
348,Brae,GB,60.3964,-1.353,49.91,91,71,21.32,broken clouds
